Tranzakció dátuma;Könyvelés dátuma;Típus;Bejövő/Kimenő;Partner neve;Partner számlaszáma/azonosítója;Költési kategória;Közlemény;Számla név;Számla szám;Összeg;Pénznem
2023-01-20 13:39:49;2023-01-20;Branch Cash Deposit;Income;Main Bank Telebank;;Transfer;NetBank;Primary Account;1111222233334444;40 000,0;HUF
2023-01-21 18:18:34;2023-01-21;ATM Withdrawal;Expense;Main Bank;;Cash Withdrawal;2023-01-21 CARD-1234 Terminal Loc A;Primary Account;1111222233334444;-4 000,0;HUF
2023-01-21 15:43:43;2023-01-21;Card Purchase;Expense;Corner Grocery Store;;Groceries;2023-01-21 CARD-1234 Store POS       Contactless;Primary Account;1111222233334444;-340,0;HUF
2023-01-23 18:45:00;2023-01-23;Card Transaction Fee;Expense;Card Transaction Fee;;Bills & Utilities;2023-01-23 CARD-1234 PIN Replacement Fee;Primary Account;1111222233334444;-116,0;HUF
2023-02-01 18:45:00;2023-02-01;Cash Handling Fee;Expense;Cash Handling Fee;;Bills & Utilities;2023-02-01 CARD-1234;Primary Account;1111222233334444;-168,0;HUF
2023-02-02 22:31:59;2023-02-02;Card Purchase;Expense;Fast Food Chain A;;Food & Drink;2023-02-02 CARD-1234 Fast Food Chain A                Contactless;Primary Account;1111222233334444;-3120;HUF
2023-02-03 20:35:59;2023-02-03;Card Purchase;Expense;Supermarket A;;Groceries;2023-02-03 CARD-1234 Supermarket A                Contactless;Primary Account;1111222233334444;-9 681,0;HUF
2023-02-10 11:12:53;2023-02-10;Internal Wire Transfer;Income;John Smith;1142311707211958;Not categorized;;Primary Account;1111222233334444;1 600,0;HUF
2023-02-11 18:48:27;2023-02-11;ATM Deposit;Income;Main Bank;;Transfer;2023-02-11 CARD-1234 Terminal Loc B;Primary Account;1111222233334444;70 000,0;HUF
2023-01-21 18:58:34;2023-01-21;Card Purchase;Expense;Fresh Market;;Groceries;2023-01-21 CARD-1234 Fresh Market         Contactless;Primary Account;1111222233334444;-1 596,0;HUF
2023-01-23 14:01:39;2023-01-23;Card Purchase;Expense;Fast Food Chain A;;Food & Drink;2023-01-23 CARD-1234 Fast Food Chain A             Contactless;Primary Account;1111222233334444;-740,0;HUF
2023-03-05 16:56:59;2023-03-05;Card Purchase;Expense;Fast Food Chain B;;Food & Drink;2023-03-05 CARD-1234 Fast Food Chain B       Contactless;Primary Account;1111222233334444;-740,0;HUF
2023-03-04 16:09:40;2023-03-04;Card-to-Card Transfer;Expense;Main Bank BANK;;Not categorized;2023-03-04 CARD-1234 Online Banking ACC-9999;Primary Account;1111222233334444;-600,0;HUF
2023-05-01 14:08:28;2023-05-01;Card Purchase;Expense;Convenience Store;;Other;2023-05-01 CARD-1234 Convenience Store       Contactless;Primary Account;1111222233334444;-1 990,0;HUF
